"Disclaimer - Users of this site acknowledge that the information contained in these files is a guide for informational purposes only, and is not to be considered as a substitute for the professional judgment of the physician, pharmacist, or any other health care professional providing services to a member, or to contradict any applicable laws and procedures.",,,,,,,,,,,,,,,,,,,,
AHFS CODE,AHFS DESCRIPTION,CHEMICAL NAME,DOSAGE FORM,STRENGTH,ITEM NAME,DIN,MANUFACTURER,AB,BC,MB,NB,NF,NS,NT,NU,ON,PE,QC,SK,YT
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,O/L,12.5MG/5ML,PMS-DIPHENHYDRAMINE 12.5MG/5ML,00792705,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,O/L,6.25MG/5ML,BENADRYL CHILDREN'S O/L,02019698,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,TAB,25MG,JAMP-DIPHENHYDRAMINE 25MG TAB,02257548,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,TAB,25MG,NADRYL 25MG TAB,02239029,RIV,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,TAB,50MG,ALLERGY 50MG TAB,02230398,TAN,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,TAB,50MG,JAMP-DIPHENHYDRAMINE HCL 50MG,02257556,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,O/L,2.5MG/ML,BLEXTEN 2.5MG/ML O/L,02519011,AEZ,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,10MG,BLEXTEN ODT 10MG TAB,02519038,AEZ,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,APO-BILASTINE 20MG TAB,02549883,APX,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,AURO-BILASTINE 20MG TAB,02541556,AUR,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,BLEXTEN 20MG TAB,02454130,AEZ,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,GLN-BILASTINE 20MG TAB,02544369,GLK,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,JAMP BILASTINE 20MG TAB,02546795,JAP,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,M-BILASTINE 20MG TAB,02548410,MAN,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,MAR-BILASTINE 20MG TAB,02547279,MAR,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,NRA-BILASTINE 20MG TAB,02551934,NOA,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,BILASTINE,TAB,20MG,SANDOZ BILASTINE 20MG TAB,02536269,SDZ,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,O/L,5MG/5ML,REACTINE 5MG/5ML O/L,02238337,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,O/L,5MG/5ML,REACTINE ALLERGY 5MG/5ML O/L,02486954,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,ALLERGY RELIEF ES 10MG TAB,02315955,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,APO-CETIRIZINE 10MG TAB,02231603,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,CETIRIZINE 10MG TAB,02375095,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,JAMP CETIRIZINE 10MG TAB,02517566,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,JAMP-CETIRIZINE 10MG TAB,02451778,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,MAR-CETIRIZINE 10MG TAB,02427133,MAR,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,NAT-CETIRIZINE 10MG TAB,02496461,NPH,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,10MG,REACTINE 10MG TAB,02223554,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Not Determined,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,AG-CETIRIZINE 20MG TAB,02524910,ANG,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Open Benefit,Not Determined,Not Determined
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,APO-CETIRIZINE 20MG TAB,02453363,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,BIO-CETIRIZINE 20MG TAB,02510030,BMI,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Not Determined,Open Benefit,Not Determined,Not Determined
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,CETIRIZINE 20MG TAB,02515695,SAN,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,CETIRIZINE 20MG TAB,02534126,SIV,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,JAMP CETIRIZINE 20MG TAB,02517353,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,JAMP-CETIRIZINE 20MG TAB,02466171,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,M-CETIRIZINE 20MG TAB,02512025,MAN,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,MAR-CETIRIZINE 20MG TAB,02427141,MAR,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,MINT-CETIRIZINE 20MG TAB,02491125,MIN,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,NAT-CETIRIZINE 20MG TAB,02496488,NPH,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,NRA-CETIRIZINE 20MG TAB,02530236,NOA,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,PMS-CETIRIZINE 20MG TAB,02315963,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,PRO-CETIRIZINE 20MG TAB,02450526,PDL,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,REACTINE 20MG TAB,01900978,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,CETIRIZINE HCL,TAB,20MG,TEVA-CETIRIZINE 20MG TAB,02528681,TEP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DESLORATADINE,O/L,0.5MG/ML,AERIUS KIDS 0.5MG/ML SYRUP,02247193,BAY,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DESLORATADINE,TAB,5MG,AERIUS 5MG TAB,02243919,BAY,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DESLORATADINE,TAB,5MG,DESLORATADINE 5MG TAB,02338424,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DESLORATADINE,TAB,5MG,JAMP DESLORATADINE 5MG TAB,02546019,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DESLORATADINE,TAB,5MG,PMS-DESLORATADINE 5MG TAB,02298155,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,FEXOFENADINE HCL,TAB,120MG,ALLEGRA 24HR 120MG TAB,02242819,SAC,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,FEXOFENADINE HCL,TAB,60MG,ALLEGRA 12HR 60MG TAB,02231462,SAC,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,FEXOFENADINE HCL,TAB,60MG,ALLEGRA HIVES 60MG TAB,02521245,SAC,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,O/L,1MG/ML,CLARITIN KIDS 1MG/ML SYRUP,02241523,BAY,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,TAB,10MG,24 HOUR ALLERGY REMEDY 10MG,02280159,VTH,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,TAB,10MG,ALLERGY REMEDY 10MG TAB,02375990,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,TAB,10MG,ALLERTIN 10MG TAB,02418959,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,TAB,10MG,APO-LORATADINE 10MG TAB,02243880,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,TAB,10MG,CLARITIN 10MG TAB,00782696,BAY,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Not Determined,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,LORATADINE,TAB,10MG,LORATADINE 10MG TAB,02366444,APX,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,RUPATADINE FUMARATE,SOL,1MG/ML,RUPALL 1MG/ML SOL,02456478,MDX,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,RUPATADINE FUMARATE,TAB,10MG,APO-RUPATADINE 10MG TAB,02553155,APX,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,RUPATADINE FUMARATE,TAB,10MG,PMS-RUPATADINE 10MG TAB,02552604,PMS,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,RUPATADINE FUMARATE,TAB,10MG,RUPALL 10MG TAB,02456451,MDX,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use,Limited Use
04:00.00,ANTIHISTAMINE DRUGS,KETOTIFEN FUMARATE,TAB,1MG,ZADITEN 1MG TAB,00577308,TEP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:08.00,ANTHELMINTICS,IVERMECTIN,TAB,3MG,STROMECTOL 3MG TAB,02480557,FRS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:08.00,ANTHELMINTICS,MEBENDAZOLE,TAB,100MG,VERMOX 100MG CHEW TAB,00556734,JNO,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:08.00,ANTHELMINTICS,PYRANTEL PAMOATE,O/L,50MG/ML,JAMP-PYRANTEL PAMOATE O/L,02412470,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:08.00,ANTHELMINTICS,PYRANTEL PAMOATE,TAB,125MG,COMBANTRIN 125MG TAB,01944363,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:08.00,ANTHELMINTICS,PYRANTEL PAMOATE,TAB,125MG,JAMP-PYRANTEL 125MG TAB,02380617,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:08.00,ANTHELMINTICS,PYRANTEL PAMOATE,TAB,125MG,RIVA-PYRANTEL 125MG TAB,02535467,RIV,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:12.02,AMINOGLYCOSIDES,GENTAMICIN SULFATE,INJ,10MG/ML,GENTAMICIN 10MG/ML INJ,02470462,HIK,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:12.02,AMINOGLYCOSIDES,GENTAMICIN SULFATE,INJ,10MG/ML,SDZ-GENTAMICIN 10MG/ML INJ,02268531,SDZ,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
08:12.02,AMINOGLYCOSIDES,GENTAMICIN SULFATE,INJ,40MG/ML,CIDOMYCIN 40MG/ML INJ,02225131,HMR,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
